Chi nhánh/Phòng giao dịch,Địa chỉ
OceanBank - OCEANBANK Nam Kỳ Khởi Nghĩa,"Số 935 Hương Lộ 2, ấp Tây, xã Hòa Long, Thành phố Bà Rịa, tỉnh Bà Rịa - Vũng Tàu"
OceanBank - OCEANBANK Vũng Tàu,"Số 29 Trần Hưng Đạo, Phường 1, TP Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu"
OceanBank - OCEANBANK Nguyễn Thái Học,"08-G3 Nguyễn Thái Học, phường 7, TP Vũng Tàu"
OceanBank - OCEANBANK Rạch Dừa,"Số 278 đường 30/4, phường Rạch Dừa, thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu"
OceanBank - OCEANBANK Việt Yên,"Số 221 Thân Nhân Trung, thị trấn Bích Động, huyện Việt Yên, Tỉnh Bắc Giang"
OceanBank - OCEANBANK Bắc Giang,"Số 151, đường Hùng Vương, thành phố Bắc Giang, tỉnh Bắc Giang"
OceanBank - OCEANBANK Cà Mau,"Số 7, đường Đề Thám, Phường 2, Tp. Cà Mau"
OceanBank - OCEANBANK Nguyễn Trường Tộ,"Số: 15 Nguyễn Trường Tộ, P. Nguyễn Trung Trực, Q. Ba Đình, Hà Nội"
OceanBank - OCEANBANK Đào Tấn,"Tầng 1 Daeha, Số 360 Kim Mã, Ba Đình, Hà Nội"
OceanBank - OCEANBANK Ba Đình,"Số 33, Phan Đình Phùng, Ba Đình, Tp.Hà Nộ"
OceanBank - OCEANBANK Giang Văn Minh,"Số 83, Giang Văn Minh, Ba Đình, Hà Nội"
OceanBank - OCEANBANK Thăng Long,"Tầng 1 Tòa nhà Trung Yên Plaza, Khu đô thị Trung Yên,P.Trung Hòa, Q. Cầu Giấy, TP. Hà Nội"
OceanBank - OCEANBANK Hoàng Quốc Việt,"135 Hoàng Quốc Việt, Cầu Giấy, Hà Nội"
OceanBank - OCEANBANK Lạc Long Quân,235 Lạc Long Quân - Phường Nghĩa Đô - Quận Cầu Giấy - Hà Nội
OceanBank - OCEANBANK Trung Yên,"Nhà số: 55 T6TT Sư đoàn 361, tổ 44A phường Yên Hòa, Cầu Giấy, Hà Nội"
OceanBank - OCEANBANK Minh Khai,"308D, Minh Khai, Hai Bà Trưng, Hà Nội"
OceanBank - OCEANBANK Bạch Mai,"277 Bạch Mai, Hai Bà Trưng, Hà Nội"
OceanBank - OCEANBANK Hai Bà Trưng,"Số 71 Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội"
OceanBank - OCEANBANK Trần Xuân Soạn,"70 Trần Xuân Soạn, Q. Hai Bà Trưng, TP. Hà Nội"
OceanBank - OCEANBANK Thái Phiên,"Số 23 Thái Phiên, phường Lê Đại Hành, quận Hai Bà Trưng, thành phố Hà Nội"
OceanBank - OCEANBANK Lạc Trung,"23 Lạc Trung, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
OceanBank - OCEANBANK Nguyễn Siêu,"Số 54 Nguyễn Siêu, phường Hàng Buồm, quận Hoàn Kiếm, TP Hà Nội"
OceanBank - OCEANBANK Hoàn Kiếm,"Tháp Hà Nội,49 Hai Bà Trưng, Hoàn Kiếm, Hà Nội"
OceanBank - OCEANBANK Hà Nội,"Tầng 1, tầng 2, tầng 4 tòa nhà Sông Hồng, số 02 Trần Hưng Đạo, phường Phan Chu Trinh, thành phố Hà Nội"
OceanBank - OCEANBANK Trương Định,"339 Trương Định, phường Tương Mai, quận Hoàng Mai, Hà Nội"
OceanBank - OCEANBANK Nguyễn Văn Lộc,"Số 11 Nguyễn Văn Lộc, tổ dân phố 3, phường Mộ Lao, quận Hà Đông, thành phố Hà N"
OceanBank - OCEANBANK Hà Đông,"415, Quang Trung, Hà Đông, Hà Nội"
OceanBank - OCEABANK Long Biên,"Số 73 Nguyễn Sơn, Ngọc Lâm, Long Biên, Hà Nội"
OceanBank - OCEANBANK Mỹ Đình,"B1-09 Khu chức năng đô thị thành phố xanh ( Khu Vinhome Gardenia Hàm Nghi), P.Cầu Diễn, Q.Nam Từ Liêm, TP.Hà Nội"
OceanBank - OCEANBANK Lê Trọng Tấn,"Tầng Lửng và tầng 2, Tòa nhà số 252 Lê Trọng Tấn, phường Khương Mai, quận Thanh Xuân, Hà Nội"
OceanBank - OCEANBANK Tây Hồ,"14 Yên Phụ, Tây Hồ, Hà Nội"
OceanBank - OCEANBANK Âu Cơ,"33, Âu Cơ, Phường Quảng An, Quận Tây Hồ"
OceanBank - OCEANBANK Đống Đa,"120M2 Huỳnh Thúc Kháng, Đống Đa, Hà Nội"
OceanBank - OCEANBANK Nguyễn Lương Bằng,"Số 55 Nguyễn Lương Bằng, P. Nam Đồng, Q. Đống Đa, TP. Hà Nội."
OceanBank - OCEANBANK Quốc Tử Giám,"Số 16 Nguyễn Như Đổ, phường Văn Miếu, Quận Đống Đa, Thành phố Hà Nội và số 30D Ngô Sỹ Liên, phường Văn Miếu, Q.Đống Đa, Hà Nội"
OceanBank - OCEANBANK Hà Tĩnh,"Tòa nhà BMC, Số 2 Phan Đình Phùng, phường Nam Hà, TP Hà Tĩnh, tỉnh Hà Tĩnh"
OceanBank - OCEANBANK Bình Giang,"58A Đại lộ Hùng vương, xã Tráng Liệt, huyện Bình Giang, Hải Dương"
OceanBank - OCEANBANK Gia Lộc,"345 Nguyễn Chế Nghĩa, Thị trấn Gia Lộc, huyện Gia Lộc, Tỉnh Hải Dương"
OceanBank - OCEANBANK Ninh Giang,"Số 93, Khu 6, đường Khúc Thừa Dụ, huyện Ninh Giang, Tỉnh Hải Dương"
OceanBank - OCEANBANK Thanh Hà,"thôn Xuân An, xã Thanh Khê, huyện Thanh Hà, tỉnh Hải Dương"
OceanBank - OCEANBANK Thanh Miện,"Số 26 Lê Bình, khu 4, thị trấn Thanh Miện, huyện Thanh Miện, tỉnh Hải Dương"
OceanBank - OCEANBANK Tứ Kỳ,"Tầng 1, Trung tâm Viễn thông Tứ Kỳ, huyện Tứ Kỳ, Tỉnh Hải Dương"
OceanBank - OCEANBANK Hải Dương,"199 Nguyễn Lương Bằng, Tp Hải Dương"
OceanBank - OCEANBANK Trần Phú,"102 Trần Phú, Tp Hải Dương"
OceanBank - OCEANBANK Quang Trung,"51 Quang Trung, Tp Hải Dương"
OceanBank - OCEANBANK Phạm Ngũ Lão,"Số: 01 Phạm Ngũ Lão, Tp. Hải Dương, T. Hải Dương"
OceanBank - OCEANBANK Nguyễn Trãi,"Số 2 Hoàng Hoa Thám, Phường Nguyễn Trãi, Tp. Hải Dương"
OceanBank - OCEANBANK Chí Linh,"132, Nguyễn Trãi I , Phường Sao Đỏ, thị xã Chí Linh, Tỉnh Hải Dương"
OceanBank - OCEANBANK Cẩm Phả,"Số 16, Đường Tô Hiệu, Phường Cẩm Trung, TP Cẩm Phả, Quảng Ninh."
OceanBank - OCEANBANK Uông Bí,"Số 515, Tổ 43, Khu 12, phường Quang Trung, Thành phố Uông Bí, Tỉnh Quảng Ninh"
OceanBank - OCEANBANK Hoàng Hoa Thám,"Số 31, Hoàng Hoa Thám, P.6, Quận Bình Thạnh, Tp.HCM"
OceanBank - OCEANBANK Sài Gòn,"Số 297- 299- 299A đường Phạm Ngũ Lão, phường Phạm Ngũ Lão, Quận 1, TP HCM"
OceanBank - OCEANBANK Lê Duẩn,"1-5 Lê Duẩn, Phường Bến Nghé, Quận 1, TP.HCM"
OceanBank - OCEANBANK Trần Não,"Tầng 1 và Tầng 2 tòa nhà 171 đường Trần Não, phường Bình An, Quận 2, TP.HCM"
OceanBank - OCEANBANK Thành phố Hồ Chí Minh,"Số 47 Bà Huyện Thanh Quan, Phường 6, Quận 3, TP Hồ Chí Minh"
OceanBank - OCEANBANK Quận 5,"Số 458 An Dương Vương, Phường 4, Quận 5, TP HCM"
OceanBank - OCEANBANK Phú Mỹ Hưng,"Lô C6A-01 Tân Trào, phường Tân Phú, quận 7, thành phố Hồ Chí Minh"
OceanBank - OCEANBANK Quận 7,"47-49 Nguyễn Thị Thập, Khu đô thị mới Him Lam, phường Tân Hưng, Quận 7, Tp. Hồ Chí Minh"
OceanBank - OCEANBANK Tân Phú,"Số 800 Âu Cơ, phường 14, quận Tân Bình, thành phố Hồ Chí Minh"
OceanBank - OCEANBANK Đà Nẵng,"Số BH02-06, khu đô thị Vinhomes Imperia Hải Phòng, quận Hồng Bàng, TP Hải Phòng"
OceanBank - OCEANBANK Hải Phòng,"Số 418-418A-420 đường Tô Hiệu, phường Trần Nguyên Hãn, Quận Lê Chân"
ABBank - PGD Phước Tỉnh,"Số nhà 73, tổ 4, Lò Vôi, Xã Phước Hưng, Huyện Long Điền, Tỉnh Bà Rịa-Vũng Tàu"
ABBank - PGD Bà Rịa,"Số 257 Cách Mạng Tháng Tám, Phường Phước Hiệp, TP. Bà Rịa, Tỉnh Bà Rịa-Vũng Tàu"
ABBank - PGD Ba Mươi Tháng Tư,"Số 02 đường Nguyễn Hữu Cảnh, P. Thắng Nhất, Tp. Vũng Tàu, Tỉnh Bà Rịa, Vũng Tàu"
ABBank - PGD Vũng Tàu,"370 Đường Lê Hồng Phong, Phường 3, Thành Phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu"
ABBank - PGD Đào Tấn,"99 Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, TP. Hà Nội"
ABBank - PGD Đội Cấn,"279A Đội Cấn, Ba Đình, Hà Nội"
ABBank - PGD Quán Thánh,"132 Phố Quán Thánh, Phường Quán Thánh, Ba Đình, Hà Nội"
ABBank - PGD Nam Thăng Long,"Tầng 1 Tòa nhà A3, Dự án thành phần khu nhà ở cao tầng CT2 thuộc khu đô thị thành phố Giao lưu số 232 Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, TP. Hà Nội"
ABBank - PGD Hoàng Quốc Việt,"141 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
ABBank - PGD Trần Đăng Ninh,"109 Trần Đăng Ninh, Q. Cầu Giấy, Hà Nội"
ABBank - PGD Trung Yên,"Số 3, Lô 2B, Khu Đô thị Trung Yên, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
ABBank - PGD Tây Hồ,"Số 387 Lạc Long Quân, Quận Cầu Giấy, Hà Nội"
ABBank - PGD Trần Khát Chân,"366 Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, TP. Hà Nội"
ABBank - PGD Lò Đúc,"126 Lò Đúc, Phường Đông Mác, Quận Hai Bà Trưng, Hà Nội"
ABBank - PGD Phố Huế,"Số 129 Bùi Thị Xuân,Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội"
ABBank - PGD Tràng Tiền,"Số 6 Hàng Bài, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội"
ABBank - PGD Cửa Nam,"Số 28 Cửa Nam, Phường Cửa Nam, Quận Hoàn Kiếm, Thành phố Hà Nội"
ABBank - PGD Hồ Gươm,"30 Lý Thái Tổ, Phường Lý Thái Tổ, Quận Hoàn kiếm, TP. Hà Nội"
ABBank - PGD Đại Kim,"A5, Khu C8 Khu Đô thị mới Đại Kim, Định Công, Hoàng Mai, Hà Nội"
ABBank - PGD Quang Trung - Hà Đông,"353 Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
ABBank - PGD Hà Đông,"1 Trần Phú, Quận Hà Đông, TP. Hà Nội"
ABBank - PGD Ngô Gia Tự,"86 Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, TP. Hà Nội"
ABBank - PGD Nguyễn Văn Cừ,"453 Nguyễn Văn Cừ, Q. Long Biên, Hà Nội"
ABBank - PGD Hồ Tùng Mậu,"Tầng 1 – Chung cư C4 – KĐT Mỹ ĐÌnh 1 – Số 44 Phố Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm- TP Hà Nội"
ABBank - PGD Giải Phóng,"441 Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội"
ABBank - PGD Lê Trọng Tấn,"262 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, TP. Hà Nội"
